order_id,qty_case,price,product_desc,qty_each,order_date
d2f43a7247bc731a26a6c9b9e49b14b6443b987a0c2f0c80390c19cc90c5dede,1,23.89,0f9cd540ca72e09a27215639f220147b6d789f4a918a6a03cf28163d008d764e,0,1544471156000
f2236ecff5b52b581c446b4de2c0ca367a34c9fd00dcfb2e8ccd6e51a87328e6,0,34.62,ff39187a53b188ddb1ee56df619afb554a94ec505cd261c92fe9d7ac16594985,3,1570129772000
71e0b64decd147d948f6b926cd381c57d3f312171be0f303fddf4638109b4fb5,2,21.5,858de86240ceb055b327992398ef0c3549c1e44262571970fd27b3448885abb3,0,1570131169000
344ded4ffa0b1b04b37d4b9b1ff26828cfc9f70b5a7ad55abdec56dc9431f476,1,46.48,de004c066d90ab9d6151d4dc5bcc8f16c8a7529d1d362f1ff42586522872a398,0,1570380005000
4da769f2ea9f32fc501b1abb86547deba8c7442ae085c4004b7d276d0e32dac4,2,22.65,c4e30eb8d33f7f2b4647948e2f939b5ee578271d26e43226354dc096c67cf9a1,0,1570385576000
4f48eab6874f9ff604ad19c9b9115090f19c083b290b6d83abd8f0d17fcd247c,0,19.86,8c8a842213cd041508f9cde4cd5da0cf5a0464ab8f66ba2119cc7f8e2ea6b68b,0,1570470391000
62c6ee13803fc8c72130cd4dd970336ebaf1ec5e718702ea2c9f7e509959955d,0,25.27,b9ec6cb5287def729243dbe872a4683c18f8ff0f8de35aba22717cd1c34adedb,4,1570475295000
62c6ee13803fc8c72130cd4dd970336ebaf1ec5e718702ea2c9f7e509959955d,0,35.11,d6d902a38839b96a91b11dae5a33ee7eef9eea20abe06d410ab708b487b0f4a1,4,1570475295000
d70b5e704df4ec65d2f2087965438341ac0305f60ff593fdedb8e195952f0fec,0,83.77,8e694e1b7ecb0c1f16192c7348410df06cbb1bafca45037216d6b263aa8cc8ae,5,1570476057000
d70b5e704df4ec65d2f2087965438341ac0305f60ff593fdedb8e195952f0fec,2,55.11,c72edd2c536b8e5e3e159c33636d08e96bdc7698b4f958012369a33395f508b7,5,1570476057000
b4104706c9a279d6d82d58d8df2ecab2b07d5999e8a4844f20f1e6e7a0f94ccd,0,4.8,f58a894b47dff5ff6e19d737bfe64582b138a92d49f475b480ad679f0e5d8e0f,0,1570648135000
b4104706c9a279d6d82d58d8df2ecab2b07d5999e8a4844f20f1e6e7a0f94ccd,0,39.9,5a66bc3859538db96e03d96dde881ffba3bd835d40fdf8f38e0105abc39c8447,0,1570648135000
7ef3d316e2e054c269f7db3ca06623a2f3a3c6ead15b5476b674ee649b11eda6,1,35.34,fdcb7b9be0a5aecfc473e9c8d1ca373884d5df1786f8f2fd19b278ff262d19b2,0,1.490816e+12
7ef3d316e2e054c269f7db3ca06623a2f3a3c6ead15b5476b674ee649b11eda6,1,33.55,1ca1b52fcd040de8af85e5594b397781299af4cf784f9b01f4dff78a066a29f1,0,1.490816e+12
7ef3d316e2e054c269f7db3ca06623a2f3a3c6ead15b5476b674ee649b11eda6,5,18.09,d418924e4668c3d3cbb660d8afb1d48fef0df3c7a7d948926b65e18ae1b3af1f,0,1.490816e+12
7ef3d316e2e054c269f7db3ca06623a2f3a3c6ead15b5476b674ee649b11eda6,9,79.69,09f6dc375a99bca4337733ca84feddc6cedbec52270ff3af7bb954b257728bf7,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,23.31,5a6fc9535315fd0ec907a79066dc116b0a6549350e921435e5ece8cfcdd85e53,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,89.3,78fc677d10ea86c76f12364bad3d93da0824dac6fb79e55b789f70399fc3a603,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,2,90.3,ca6bb5218778584d8810b36496da026d3d45eaf97a86b34aba0c45abf56bd89b,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,145.3,411882e1480ccf72aa7c343f4e62e1aa981a4ea5ab38ff2a8bc650f81f1362a9,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,28.25,3517d91dfc73ab6195ab38b6232ab5c4f28ebc43d0df6e5c199cc52316855ad5,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,36.98,27e241e14d93942d2c288c52adb5330a7961adb6dacec4d5d03eaafb2f859712,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,55.89,b63f9db5333411506f0de8d5f3dd1f691365be7e13c0eddd04fb8b48d9ad4697,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,0,7.84,1ab090495eb7fce1c271b0f3c1c78df0f7cf1f094cbc426d3b663587583e1b01,2,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,38.97,1da371f5969a8e1409014664b60cfc54b84b5f84087ffee099661eb4dde79a5c,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,16.68,f40458ed0f89dd599b2e2d71a6b0eae912310f9fd52bfbd395a13d82a7467a24,0,1.490816e+12
6c6533c563b551bedb29fe28bb0fabdd745d8953af753a39cba3b66390da618f,1,17.98,75b7fd067e8daa8def1fdba63baa28a092283dc1f1434df0823f394f7f66c8f9,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,27.72,e1995f244ab081be7aca326251223f771bb077a3e4426193530e72cdaec6b8bb,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,48.79,260386526d968f60732878a7a759049b8e1ee4c815508c2f1b4a2c236b61ed9f,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,33.91,cb47b3e1a2445960655ea8d6b1432c513664845293ba3350f6c3455e8c5e9022,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,28.2,7bf62b82bcc1d79c8c6b87263375307eafc39db02683bc4a6b27d326011900ca,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,30.89,1dbd04de790491a53c8b74de203de16a5a8d81a650d943d07b08fe8688b237e7,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,32,746765b435de840b7edfef0aec8ef29f04540d763b62f8673fed717cba6ce9b0,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,30.07,b288daa98a20840e340bd5d4fc33130369b52c166f36be217bc36e3b66b42feb,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,19.28,7af4ff17113c9510af0a004bec164913a66ec7c6268afe9625f5f8a33007d288,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,17.37,5f4cd0b964c3b43ad48e16548127e04d77a423f525481f2a704ef4e02f37243c,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,58.31,b8b98abda17d7e7d367b9e3c36d58f74373bb3c875c16d29edabbbca66bba4cb,0,1.490816e+12
b6e13fa3cc2efcd07b2aa9ade5b98675091c7013c843561f98586bb36478f7fb,1,34.07,5ec9e8e3c6b7ebcb222aae50f37266131c18713987ed9862f089eb25a259cd41,0,1.490816e+12
